Change Component Footprint: Designator=C176 Old Footprint=CAP_C_1005X50_L New Footprint=CAP_C_2012X110
Change Component Footprint: Designator=C193 Old Footprint=CAP_C_1005X50_L New Footprint=CAP_C_2012X110
Change Component Footprint: Designator=C194 Old Footprint=CAP_C_1005X50_L New Footprint=CAP_C_2012X110
Change Component Footprint: Designator=C209 Old Footprint=CAP_C_1005X50_L New Footprint=CAP_C_2012X110
Change Component Footprint: Designator=C210 Old Footprint=CAP_C_1005X50_L New Footprint=CAP_C_2012X110
Change Component Footprint: Designator=C172 Old Footprint=CAP_C_3225X80 New Footprint=CAP_C_1608X80
Change Component Footprint: Designator=C177 Old Footprint=CAP_C_3225X80 New Footprint=CAP_C_1608X80
Change Component Footprint: Designator=C178 Old Footprint=CAP_C_3225X80 New Footprint=CAP_C_1608X80
Change Component Comment : Designator=C156 Old Comment=4.7uF/10V New Comment=0.47uF/10V
Change Component Comment : Designator=C157 Old Comment=4.7uF/10V New Comment=0.47uF/10V
Change Component Comment : Designator=C161 Old Comment=4.7uF/10V New Comment=0.47uF/10V
Change Component Comment : Designator=C179 Old Comment=4.7uF/10V New Comment=0.47uF/10V
Change Component Comment : Designator=C181 Old Comment=4.7uF/10V New Comment=0.47uF/10V
Change Component Comment : Designator=C186 Old Comment=4.7uF/10V New Comment=0.47uF/10V
Change Component Comment : Designator=C199 Old Comment=4.7uF/10V New Comment=0.47uF/10V
Change Component Comment : Designator=C200 Old Comment=4.7uF/10V New Comment=0.47uF/10V
Change Component Comment : Designator=C205 Old Comment=4.7uF/10V New Comment=0.47uF/10V
Change Component Comment : Designator=C206 Old Comment=4.7uF/10V New Comment=0.47uF/10V
