Net Status Report
Filename     : D:\1_AltiumProject\29_DAL_OBC\SpaceLiinTech_BEE_DAL_OBC_HW\01_DESIGN\DAL_OBC_V10.PcbDoc
Date         : 7/21/2026
Time         : 10:23:16 AM
Time Elapsed : 00:00:00

Nets, Layer, Length
    +1.8V_FPGA, Signal Layers Only, 0mm
    +12V_CONN_IN, Signal Layers Only, 0mm
    +12V_PC104, Signal Layers Only, 0mm
    +1V_FPGA, Signal Layers Only, 0mm
    +3.3V, Signal Layers Only, 0mm
    +3.3V/5V, Signal Layers Only, 0mm
    +3.3V/5V_SENSE, Signal Layers Only, 0mm
    +3.3V_FPGA_IO, Signal Layers Only, 0mm
    +3.3V_SAMA7, Signal Layers Only, 0mm
    +3.3V_SENSE, Signal Layers Only, 0mm
    +5V_FPGA, Signal Layers Only, 0mm
    +5V_FPGA_eFUSE, Signal Layers Only, 0mm
    +5V_PC104, Signal Layers Only, 0mm
    +5V_SAMA7, Signal Layers Only, 0mm
    +5V_SAMA7_eFUSE, Signal Layers Only, 0mm
    3.3_VBAT, Signal Layers Only, 0mm
    5V, Signal Layers Only, 0mm
    ADC_TEMP_1, Signal Layers Only, 0mm
    AGND, Signal Layers Only, 0mm
    CFGBVS, Signal Layers Only, 0mm
    CONF_CLK, Signal Layers Only, 0mm
    CONF_CS, Signal Layers Only, 0mm
    CONF_MISO, Signal Layers Only, 0mm
    CONF_MISO_NR, Signal Layers Only, 0mm
    CONF_MOSI, Signal Layers Only, 0mm
    CONF_MOSI_NR, Signal Layers Only, 0mm
    CONN_IN_SEL, Signal Layers Only, 0mm
    CONN_USB_1_R_N, Signal Layers Only, 0mm
    CONN_USB_1_R_P, Signal Layers Only, 0mm
    CONN_USB_2_R_N, Signal Layers Only, 0mm
    CONN_USB_2_R_P, Signal Layers Only, 0mm
    CONN_USB_N, Signal Layers Only, 0mm
    CONN_USB_P, Signal Layers Only, 0mm
    CPU_FPGA_PROGRAM_B, Signal Layers Only, 0mm
    DDR_A0, Signal Layers Only, 37.1553mm
    DDR_A1, Signal Layers Only, 37.1589mm
    DDR_A10, Signal Layers Only, 37.0625mm
    DDR_A11, Signal Layers Only, 37.1179mm
    DDR_A12, Signal Layers Only, 37.1405mm
    DDR_A13, Signal Layers Only, 37.149mm
    DDR_A14, Signal Layers Only, 37.1125mm
    DDR_A15, Signal Layers Only, 37.1141mm
    DDR_A2, Signal Layers Only, 37.1688mm
    DDR_A3, Signal Layers Only, 37.1709mm
    DDR_A4, Signal Layers Only, 37.1281mm
    DDR_A5, Signal Layers Only, 37.0292mm
    DDR_A6, Signal Layers Only, 37.1506mm
    DDR_A7, Signal Layers Only, 37.1007mm
    DDR_A8, Signal Layers Only, 37.1282mm
    DDR_A9, Signal Layers Only, 37.1245mm
    DDR_BA0, Signal Layers Only, 37.0762mm
    DDR_BA1, Signal Layers Only, 37.0654mm
    DDR_BA2, Signal Layers Only, 37.1mm
    DDR_CAS, Signal Layers Only, 37.1907mm
    DDR_CKE, Signal Layers Only, 37.1443mm
    DDR_CK_N, Signal Layers Only, 36.8659mm
    DDR_CK_P, Signal Layers Only, 37.0214mm
    DDR_CS, Signal Layers Only, 37.0886mm
    DDR_D0, Signal Layers Only, 40.6683mm
    DDR_D1, Signal Layers Only, 40.587mm
    DDR_D10, Signal Layers Only, 40.674mm
    DDR_D11, Signal Layers Only, 40.6765mm
    DDR_D12, Signal Layers Only, 40.6817mm
    DDR_D13, Signal Layers Only, 40.6875mm
    DDR_D14, Signal Layers Only, 40.6644mm
    DDR_D15, Signal Layers Only, 40.6487mm
    DDR_D2, Signal Layers Only, 40.6274mm
    DDR_D3, Signal Layers Only, 40.6234mm
    DDR_D4, Signal Layers Only, 40.6954mm
    DDR_D5, Signal Layers Only, 40.637mm
    DDR_D6, Signal Layers Only, 40.6818mm
    DDR_D7, Signal Layers Only, 40.6613mm
    DDR_D8, Signal Layers Only, 40.641mm
    DDR_D9, Signal Layers Only, 40.6303mm
    DDR_DQM0, Signal Layers Only, 40.6368mm
    DDR_DQM1, Signal Layers Only, 40.6297mm
    DDR_DQS0_N, Signal Layers Only, 40.5669mm
    DDR_DQS0_P, Signal Layers Only, 40.5727mm
    DDR_DQS1_N, Signal Layers Only, 40.5643mm
    DDR_DQS1_P, Signal Layers Only, 40.6896mm
    DDR_ODT, Signal Layers Only, 36.9866mm
    DDR_RAS, Signal Layers Only, 37.0905mm
    DDR_RESET, Signal Layers Only, 11.315mm
    DDR_VREF, Signal Layers Only, 32.4508mm
    DDR_WE, Signal Layers Only, 37.1857mm
    DDR_ZQ, Signal Layers Only, 3.5475mm
    DONE, Signal Layers Only, 0mm
    FLASH_CLK, Signal Layers Only, 0mm
    FLASH_CS, Signal Layers Only, 0mm
    FLASH_D0, Signal Layers Only, 0mm
    FLASH_D1, Signal Layers Only, 0mm
    FLASH_D2, Signal Layers Only, 0mm
    FLASH_D3, Signal Layers Only, 0mm
    FLASH_SPI_CLK, Signal Layers Only, 0mm
    FLASH_SPI_MISO/D1, Signal Layers Only, 0mm
    FLASH_SPI_MOSI/D0, Signal Layers Only, 0mm
    FLASH_SPI_nCS, Signal Layers Only, 0mm
    FPGA_BUTTON, Signal Layers Only, 0mm
    FPGA_CLK, Signal Layers Only, 0mm
    FPGA_CONF_CLK, Signal Layers Only, 0mm
    FPGA_CONF_CS, Signal Layers Only, 0mm
    FPGA_CONF_MISO, Signal Layers Only, 0mm
    FPGA_CONF_MOSI, Signal Layers Only, 0mm
    FPGA_CONF_SPI_CLK, Signal Layers Only, 0mm
    FPGA_CONF_SPI_CS, Signal Layers Only, 0mm
    FPGA_CONF_SPI_MISO, Signal Layers Only, 0mm
    FPGA_CONF_SPI_MOSI, Signal Layers Only, 0mm
    FPGA_D0, Signal Layers Only, 0mm
    FPGA_D1, Signal Layers Only, 0mm
    FPGA_D2, Signal Layers Only, 0mm
    FPGA_D3, Signal Layers Only, 0mm
    FPGA_D4, Signal Layers Only, 0mm
    FPGA_D5, Signal Layers Only, 0mm
    FPGA_D6, Signal Layers Only, 0mm
    FPGA_D7, Signal Layers Only, 0mm
    FPGA_EMCCLK, Signal Layers Only, 0mm
    FPGA_FLASH_SPI_MCSN, Signal Layers Only, 0mm
    FPGA_FLASH_SPI_MD2, Signal Layers Only, 0mm
    FPGA_FLASH_SPI_MD3, Signal Layers Only, 0mm
    FPGA_FLASH_SPI_MISO/MD1, Signal Layers Only, 0mm
    FPGA_FLASH_SPI_MOSI/MD0, Signal Layers Only, 0mm
    FPGA_IO0, Signal Layers Only, 0mm
    FPGA_IO1, Signal Layers Only, 0mm
    FPGA_IO10, Signal Layers Only, 0mm
    FPGA_IO11, Signal Layers Only, 0mm
    FPGA_IO12, Signal Layers Only, 0mm
    FPGA_IO13, Signal Layers Only, 0mm
    FPGA_IO14, Signal Layers Only, 0mm
    FPGA_IO15, Signal Layers Only, 0mm
