Altium Designer Pick and Place Locations
D:\1_AltiumProject\29_DAL_OBC\SpaceLiinTech_BEE_DAL_OBC_HW\01_DESIGN\Project Outputs for DAL_OBC_V10\Pick Place for DAL_OBC_V10.csv

========================================================================================================================
File Design Information:

Date:       23/08/26
Time:       10:36
Revision:   ad69f29aacfa72c9b2d1185c9d260368a20a54f2
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"J20","Header 4x1","TopLayer","Header_254P_4x1","80.0100","81.2800","180",""
"U44","TLV75518PDBVR","TopLayer","SOT25","81.6000","36.2710","0",""
"R518","1k","TopLayer","RES_C_1005X40","78.4000","38.6000","180","RES"
"C300","10uF/20V","TopLayer","CAP_C_2012X110","81.7000","39.0998","180","CAP CHIP High Value"
"C299","10uF/20V","TopLayer","CAP_C_2012X110","78.1752","36.3250","270","CAP CHIP High Value"
"R358","47k","BottomLayer","RES_C_1005x30_L","52.3595","71.2387","0","RES"
"U43","PCA9508DP,118","BottomLayer","TSOP8","16.2000","41.1000","90",""
"R517","22R","BottomLayer","RES_C_1005x30_L","36.4000","43.5000","270","RES"
"R516","10k","BottomLayer","RES_C_1005X40","14.7000","45.3994","90","RES"
"R515","22R","BottomLayer","RES_C_1005X40","15.6000","45.3994","90","RES"
"R514","22R","BottomLayer","RES_C_1005X40","16.5000","45.3994","90","RES"
"R513","DNP/4.7k","BottomLayer","RES_C_1005X40","16.3000","36.7000","90","RES"
"R512","DNP/4.7k","BottomLayer","RES_C_1005X40","15.4000","36.7000","90","RES"
"R511","4.7k","BottomLayer","RES_C_1005X40","15.6000","47.4000","270","RES"
"R510","4.7k","BottomLayer","RES_C_1005X40","16.5000","47.4000","270","RES"
"JP14","DNP/0R","TopLayer","RES_C_1608X60","68.1090","37.9171","90",""
"JP13","DNP/0R","TopLayer","RES_C_1608X60","76.3000","37.9000","270",""
"C298","0.1uF/10V","BottomLayer","CAP_C_1005X60","17.9000","36.7000","90","CAP CHIP"
"C297","0.1uF/10V","BottomLayer","CAP_C_1005X60","17.4000","45.4000","270","CAP CHIP"
"R509","10k","BottomLayer","RES_C_1005X40","69.7000","7.6000","180","RES"
"R508","10k","BottomLayer","RES_C_1005X40","69.7000","8.9000","180","RES"
"R507","10k","BottomLayer","RES_C_1005x30_L","11.8000","80.6000","0","RES"
"R506","10k","BottomLayer","RES_C_1005x30_L","12.0000","87.8000","0","RES"
"R505","10k","BottomLayer","RES_C_1005x30_L","17.2000","78.8000","0","RES"
"R504","10k","BottomLayer","RES_C_1005x30_L","17.2000","79.7000","0","RES"
"R503","22R","BottomLayer","RES_C_1005x30_L","48.0751","42.4373","180","RES"
"R502","22R","TopLayer","RES_C_1005x30_L","50.4000","41.1000","180","RES"
"R501","22R","TopLayer","RES_C_1005x30_L","50.4000","35.8000","180","RES"
"R389","22R","BottomLayer","RES_C_1005x30_L","44.4000","23.6000","90","RES"
"C191","47uF/25V","BottomLayer","CAP_C_3225X80","14.2889","63.0153","90","CAP CHIP High Value"
"U34","TPS259470ARPWR","TopLayer","VQFN-HR-10","27.0002","64.2000","90",""
"R445","3.24k","TopLayer","RES_C_1005x30_L","22.2000","80.9000","270","RES"
"R446","1.6k","TopLayer","RES_C_1005x30_L","26.5922","67.0662","270","RES"
"R442","47k","TopLayer","RES_C_1005x30_L","28.7922","61.2662","270","RES"
"R441","47k","TopLayer","RES_C_1005x30_L","27.8922","61.2662","270","RES"
"D18","SS54","TopLayer","DO-214AC_SMA","30.9922","64.7162","90","DIODE SCHOTTKY"
"C278","2.2nF/10V","TopLayer","CAP_C_1005X50_L","28.0795","67.0664","270","CAP CHIP"
"C277","2.2nF/10V","TopLayer","CAP_C_1005X50_L","25.6922","67.0662","270","CAP CHIP"
"C276","1uF/20V","TopLayer","CAP_C_1005X50_L","23.9172","63.4662","90","CAP CHIP"
"C275","47uF/25V","BottomLayer","CAP_C_3225X80","24.0922","63.0162","90","CAP CHIP High Value"
"C274","47uF/25V","BottomLayer","CAP_C_3225X80","30.4922","64.4162","270","CAP CHIP High Value"
"C273","47uF/25V","BottomLayer","CAP_C_3225X80","27.2922","64.4162","270","CAP CHIP High Value"
"C296","0.1uF/10V","TopLayer","CAP_C_1005X60","76.4000","11.5000","90","CAP"
"BT1","3035","TopLayer","BAT_3035","62.5000","13.0000","180","Battery Clip; THM; 20mm Cell; PhosBronze/Nickel | Keystone Electronics 3035"
"U42","OPA2340UA","BottomLayer","SOIC127P602X173-8N","81.3000","24.0000","90",""
"U41","OPA2340UA","BottomLayer","SOIC127P602X173-8N","81.3000","35.9000","90",""
"U40","MIC2026-1YM","BottomLayer","SOIC127P602X173-8N","64.4250","8.2710","180","Power Switch/Driver 1:2 N-Channel 1.25A 8-SOIC"
"U39","PCA9508DP,118","BottomLayer","TSOP8","58.7500","16.5460","180",""
"U38","PCA9508DP,118","BottomLayer","TSOP8","66.7500","16.5460","180",""
"U37","PI3WVR626XEBEX","TopLayer","PI3WVR626XEBEX_DIO","79.2024","52.9000","0","PI3WVR626XEBEX"
"U36","PI2MEQX2503AXEAEX","TopLayer","PD-2190_DIO","79.1024","45.1000","90","No Description Available"
"U35","SN65C3232PWR","TopLayer","SOP65P640X120-16N","61.0090","35.4171","0","2/2 Transceiver Full RS232 16-TSSOP 1GHz"
"U33","TPS259470ARPWR","TopLayer","VQFN-HR-10","17.1927","72.3991","90",""
"SB4","JUMPER","TopLayer","JUMPER_1608","24.0922","66.3847","270",""
"R500","10k","BottomLayer","RES_C_1005X40","77.8000","29.2000","0","RES"
"R499","22R","BottomLayer","RES_C_1005X40","81.1000","28.8000","270","RES"
"R498","22R","BottomLayer","RES_C_1005X40","82.0000","28.8000","90","RES"
"R497","10k","BottomLayer","RES_C_1005X40","80.1000","18.7000","0","RES"
"R496","22R","BottomLayer","RES_C_1005X40","81.6000","19.2000","90","RES"
"R495","22R","BottomLayer","RES_C_1005X40","83.4000","19.2000","270","RES"
"R494","10k","BottomLayer","RES_C_1005X40","79.5000","41.2000","0","RES"
"R493","22R","BottomLayer","RES_C_1005X40","81.0000","40.7000","270","RES"
"R492","22R","BottomLayer","RES_C_1005X40","81.9000","40.7000","90","RES"
